Ville,region,brut,net
beggen,Centre / zentrum,1340,630
belair,Centre / zentrum,4820,740
bereldange,Centre / zentrum,1845,720
bertrange,Centre / zentrum,3230,1480
Bonnevoie 1,Centre / zentrum,1670,1280
Bonnevoie 2,Centre / zentrum,5090,960
bridel,Centre / zentrum,1400,710
capellen,Centre / zentrum,1400,760
centre ville,Centre / zentrum,2720,1040
cents,Centre / zentrum,2480,1060
cessange,Centre / zentrum,1435,560
clausen,Centre / zentrum,1330,640
dommeldange,Centre / zentrum,1800,620
eischen,Centre / zentrum,1830,1060
Gare (1&2),Centre / zentrum,4550,2050
garnich,Centre / zentrum,2855,1350
gasperich,Centre / zentrum,2900,1270
hamm,Centre / zentrum,2120,930
heisdorf,Centre / zentrum,1520,950
hesperange,Centre / zentrum,3820,1390
hollerich,Centre / zentrum,3130,620
howald,Centre / zentrum,2860,880
kirchberg,Centre / zentrum,2180,890
leudelange,Centre / zentrum,1240,630
limpertsberg,Centre / zentrum,4440,1120
lintgen,Centre / zentrum,1810,1190
mamer,Centre / zentrum,2510,1130
merl,Centre / zentrum,2020,750
moutfort,Centre / zentrum,2230,1400
munsbach,Centre / zentrum,3245,1470
neudorf,Centre / zentrum,2350,410
niederanven,Centre / zentrum,1545,850
rollingergrund,Centre / zentrum,3540,780
senningerberg,Centre / zentrum,1110,560
steinfort,Centre / zentrum,1490,680
strassen,Centre / zentrum,3220,1840
walferdange,Centre / zentrum,3110,1570
beaufort,Est / osten,2010,1320
berbourg,Est / osten,1230,970
dalheim,Est / osten,935,580
echternach,Est / osten,2670,1080
grevenmacher,Est / osten,2945,1570
junglinster,Est / osten,2390,1280
larochette,Est / osten,2020,1350
machtum,Est / osten,955,580
medernach,Est / osten,1780,1260
mondorf les bains,Est / osten,2940,1610
remich,Est / osten,2320,1130
rosport,Est / osten,1295,870
stadtbredimus,Est / osten,1175,830
wasserbrillig,Est / osten,1520,780
wecker,Est / osten,1604,1110
wintrange,Est / osten,1515,950
wormeldange,Est / osten,2040,1450
bascharage,Sud / suden,3195,1590
belvaux,Sud / suden,2170,1350
bergem,Sud / suden,1380,960
bettembourg,Sud / suden,3460,1730
clemency,Sud / suden,1020,660
crauthem,Sud / suden,1185,670
differdange,Sud / suden,1850,1350
dippach,Sud / suden,1465,850
dudelange,Sud / suden,8167,4670
Esch 1,Sud / suden,3370,1690
Esch 2,Sud / suden,3170,1130
Esch 3,Sud / suden,3375,1240
Esch 4,Sud / suden,2940,1110
Esch 5,Sud / suden,1755,1100
fousbann,Sud / suden,1445,880
Frisange (1&2),Sud / suden,2680,1900
kayl,Sud / suden,1920,1120
lamadelaine,Sud / suden,858,580
metzerlach,Sud / suden,1195,720
mondercange,Sud / suden,2415,1000
niedercorn,Sud / suden,2580,1580
obercorn,Sud / suden,2770,1540
Petange (1&2),Sud / suden,3707,2045
reckange,Sud / suden,1030,560
rodange,Sud / suden,2485,1370
rumelange,Sud / suden,2035,1380
sanem,Sud / suden,1100,640
Schifflange (1&2),Sud / suden,4010,2500
soleuvre,Sud / suden,1875,1270
tetange,Sud / suden,1365,820
asselborn,Nord / norden,1835,1130
beckerich,Nord / norden,1665,930
bettendorf,Nord / norden,1325,940
bissen,Nord / norden,1555,1070
brouch,Nord / norden,925,630
clervaux,Nord / norden,2260,1450
colmar berg,Nord / norden,1720,1120
diekirch,Nord / norden,3010,1540
eschdorf,Nord / norden,895,740
ettelbruck,Nord / norden,3650,1590
folschette,Nord / norden,1095,810
gilsdorf,Nord / norden,1075,710
harlange,Nord / norden,1520,1150
heiderscheid,Nord / norden,1130,950
hoscheid,Nord / norden,1020,780
kehlen,Nord / norden,1945,910
mersch,Nord / norden,2700,1230
mertzig,Nord / norden,1240,110
niederfeulen,Nord / norden,1560,1150
noetrange,Nord / norden,1075,800
perle,Nord / norden,1300,840
pratz,Nord / norden,1815,900
redange,Nord / norden,2215,1420
rollingen,Nord / norden,1295,1050
Troisvierge (1&2),Nord / norden,3057,2210
vianden,Nord / norden,1360,985
Wiltz (1&2),Nord / norden,2560,1650
